Funder: Organisation Name,Managed by: Organisation Name,Grant Programme:Code,Grant Programme:Title,Description,FY value,Start Date,End Date,Allocation method,Duration (Months),COFOG: Sector type,Authority Act: Authority Act Name
Department of Health and Social Care,UK Health Security Agency,G2-SCH-2024-01-13376,CTP_21-22_Community Testing_Q4_ext_GD6635_Feb,"CTP is part of the wider asymptomatic testing programme to support delivery of the Road Map. The main aim for CTP remains to target hard to reach groups that are less likely to test (e.g. high deprivation areas/ areas with low vaccine take up); she noted that LAs remain best placed to identify and target these groups. CTP is targeted testing at scale and not mass testing. The current aims are to strengthen the LA infrastructure, support testing surges (e.g. the schools surge), while developing the longer term testing strategy.",65506.00,2022-04-01,2023-03-31,Formula Grant,12,Health,Local Government Act 2003
"Department for Business, Energy and Industrial Strategy",UK Research and Innovation,G2-SCH-2024-01-13388,UKRI - COVID - Scheme 22/23,research and innovation www.gtr.ukri.org,24499585.00,2019-04-01,2026-03-31,General Grant - Competed,84,General public services,Higher Education and Research Act 2017
"Department for Business, Energy and Industrial Strategy",UK Research and Innovation,G2-SCH-2024-01-13389,UKRI - FIC - Scheme 22/23,research and innovation www.gtr.ukri.org,9091416.00,2018-04-01,2026-03-31,General Grant - Competed,96,General public services,Higher Education and Research Act 2017
"Department for Business, Energy and Industrial Strategy",UK Research and Innovation,G2-SCH-2024-01-13390,UKRI - FLF - Scheme 22/23,research and innovation www.gtr.ukri.org,117850310.00,2019-04-01,2028-03-31,General Grant - Competed,108,General public services,Higher Education and Research Act 2017
"Department for Business, Energy and Industrial Strategy",UK Research and Innovation,G2-SCH-2024-01-13391,UKRI - GCRF - Scheme 22/23,research and innovation www.gtr.ukri.org,61190082.00,2017-04-01,2025-03-31,General Grant - Competed,96,General public services,Higher Education and Research Act 2017
"Department for Business, Energy and Industrial Strategy",UK Research and Innovation,G2-SCH-2024-01-13392,UKRI - HEG - Scheme 22/23,research and innovation www.gtr.ukri.org,46863275.00,2021-04-01,2030-03-31,General Grant - Competed,108,General public services,Higher Education and Research Act 2017
"Department for Business, Energy and Industrial Strategy",UK Research and Innovation,G2-SCH-2024-01-13393,UKRI - ISCF - Scheme 22/23,research and innovation www.gtr.ukri.org,450379909.00,2017-04-01,2026-03-31,General Grant - Competed,108,General public services,Higher Education and Research Act 2017
"Department for Business, Energy and Industrial Strategy",UK Research and Innovation,G2-SCH-2024-01-13394,UKRI - NC3Rs - Scheme 22/23,research and innovation www.gtr.ukri.org,5132955.00,2016-04-01,2027-03-31,General Grant - Competed,132,General public services,Higher Education and Research Act 2017
"Department for Business, Energy and Industrial Strategy",UK Research and Innovation,G2-SCH-2024-01-13395,UKRI - Newton Fund - Scheme 22/23,research and innovation www.gtr.ukri.org,-1862.00,2017-04-01,2024-03-31,General Grant - Competed,84,General public services,Higher Education and Research Act 2017
"Department for Business, Energy and Industrial Strategy",UK Research and Innovation,G2-SCH-2024-01-13396,UKRI - SPF - Scheme 22/23,research and innovation www.gtr.ukri.org,110310674.00,2018-04-01,2028-03-31,General Grant - Competed,120,General public services,Higher Education and Research Act 2017
"Department for Business, Energy and Industrial Strategy",UK Research and Innovation,G2-SCH-2024-01-13397,UKRI - UUI - Scheme 22/23,research and innovation www.gtr.ukri.org,11695677.00,2017-04-01,2025-03-31,General Grant - Competed,96,General public services,Higher Education and Research Act 2017
Ministry of Justice,Ministry of Justice,G2-SCH-2024-02-13400,Local Integration of Women's Services Whole System Approach (WSA) Funding,To provide seed funding to fund coordination and/or project costs for the Local Integration of Women's Services.,127004.00,2022-04-01,2024-03-31,General Grant - Competed,24,General public services,Offender Management Act 2007
Department for Work and Pensions,Money and Pensions Service,G2-SCH-2024-02-13416,ALB - MaPS - Children and Young People Financial Education Grant,Grant for Improving Financial Wellbeing -  Practitioner Training and Targeted Provision for VCYP (JFF) to provide Financial Education for Children Attending Behaviour Support Centres and PRUs- and Practitioner Training and Targeted Provision for VCYP (JFF) to provide Financial Education for Children Attending Behaviour Support Centres and PRUs,319286.57,2022-04-01,2023-03-31,General Grant - Competed,12,Social security,The Financial Guidance and Claims Act 2018
Department for Work and Pensions,Money and Pensions Service,G2-SCH-2024-02-13417,ALB - MaPS - Mental Health Access Mechanism Pilot,Piloting Mental Health Crisis Breathing Space Access Mechanism as a result of Debt Respite Scheme Regulations 2020 coming into force,1310543.00,2022-04-01,2023-03-31,General Grant - Competed,12,Social security,The Financial Guidance and Claims Act 2018
Department for Work and Pensions,Money and Pensions Service,G2-SCH-2024-02-13418,ALB - MaPS - Debt Advice,Grants for the provision of free to client Debt Advice,44867880.29,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Social security,The Financial Guidance and Claims Act 2018
Department for Work and Pensions,Money and Pensions Service,G2-SCH-2024-02-13419,ALB - MaPS - Pensions & Mental Health Research,Understanding and overcoming barriers to pension planning and engagement for people with mental health problems ,55000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Social security,The Financial Guidance and Claims Act 2018
Department for Work and Pensions,Money and Pensions Service,G2-SCH-2024-02-13420,ALB - MaPS - Grants for the Administration of Debt Relief Orders,The Financial Guidance and Claims Act 2018 which established MaPS requires MaPS to have regard for those most in need. DROs are a critical debt solution for many who fall into that category and tend to be used by very low-income clients and often those in vulnerable circumstances. Most debt advice agencies who process DROs (as Competent Authorities) undertake a significant administrative effort which is currently underfunded.,4363700.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Social security,The Financial Guidance and Claims Act 2018
Department for Work and Pensions,Money and Pensions Service,G2-SCH-2024-02-13421,ALB - MaPS - Grants for Covid 19: Increasing Debt Advice Capacity 2022,The provision of free to client debt advice as per the statutory remit set out in the Financial Guidance and Claims Act 2018. These grant agreements are to fund the increased capacity due to increased demand caused by Covid 19,11840644.44,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Social security,The Financial Guidance and Claims Act 2018
Department for Work and Pensions,Money and Pensions Service,G2-SCH-2024-02-13422,ALB - MaPS - Grants for Pension Wise service,Grant for the provision of face to face and telephony appointments,12090528.68,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Social security,The Financial Guidance and Claims Act 2018
Department for Work and Pensions,Money and Pensions Service,G2-SCH-2024-02-13423,ALB - MaPS - Grant for Financial Education - Quality Mark,Grant awarded for the Financial education quality mark scheme delivery,67600.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Social security,The Financial Guidance and Claims Act 2018
Department for Work and Pensions,Money and Pensions Service,G2-SCH-2024-02-13424,ALB - MaPS - Grant for Money Advice Training,Delivery of Free Training to MaPS-funded debt advisers,349419.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Social security,The Financial Guidance and Claims Act 2018
Department for Work and Pensions,Money and Pensions Service,G2-SCH-2024-02-13425,ALB - MaPS - Grant for Next Steps for Emergency Workplace Savings,"Grant for MaPS to be part of a combined programme with BlackRock, who are funding Nest Insight to test opt-out, and half opt-in half opt-out autosave models of payroll savings.
Outcomes and evidence accumulated from this phase enable us to take forward our UK strategy goal: Nation of Savers.",130000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Social security,The Financial Guidance and Claims Act 2018
Department for Work and Pensions,Money and Pensions Service,G2-SCH-2024-02-13426,ALB - MaPS - Money & Me Campaign,"Evaluation activity to assess engagement of young people and effect on their money knowledge, skills and behaviours, including through pre- and post-surveys",37680.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Social security,The Financial Guidance and Claims Act 2018
Department for Work and Pensions,Money and Pensions Service,G2-SCH-2024-02-13427,ALB - MaPS - YMM Textbook Evaluation Grant,"A grant paid to Young Enterprise to commission an evaluation of the Your Money Matters Financial Education Textbook in Northern Ireland, Scotland and Wales.",24462.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Social security,The Financial Guidance and Claims Act 2018
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",G2-SCH-2024-02-13435,Global Challenges Research Fund,Supports UK and international researchers and innovators to take on key issues affecting developing countries,23174097.00,2022-04-01,2025-03-31,General Grant - Mixed,36,Economics affairs,International Development Act 2002
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",G2-SCH-2024-02-13437,Newton Fund,"Builds research and innovation partnerships with countries in Africa, Asia and Latin America to support economic development and social welfare, tackle global challenges and develop talent and careers.",19862641.56,2022-04-01,2025-03-31,General Grant - Mixed,36,Economics affairs,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-13926,UK Action to support Developing Countries Fighting Corruption - UKACT,NCA - International Corruption Unit,4977795.56,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-13927,Core Contribution 2022 - 2023 Food and Agriculture Organisation,Core Contribution 2022 - 2023 Food and Agriculture Organisation - ODA,17724582.17,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-13928,"The UK's Contribution to ATscale, the global partnership for assistive technology",Funding for the AT Scale Partnership,1850000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-13930,Health Resilience Fund in Zimbabwe   2021-2025,Zimbabwe Health Resilience Fund 2021-2025 - Pooled Fund Delivery,6450000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-13931,Somalia Security and Justice Programme II,Support to Development of Police and Access to Justice in Somalia,3500000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-13932,Active Citizenship Through Inclusive Volunteering & Empowerment (ACTIVE) programme,Implementation of the Active Citizenship Through Inclusive Volunteering & Empowerment (ACTIVE) programme,9000000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-13933,Democratic Resilience Platform,"Preventing Shutdowns, Protecting Internet Freedom",267847.93,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14064,Accelerating Action to End Child Marriage Programme Phase 2,"This will be the UKs second global, multi-sectoral programme to tackle child marriage and respond to its consequences. This programme will provide £18 million to deliver interventions across high prevalence countries, including fragile and conflict affected states, to prevent child marriages, lower global prevalence rates and support already married girls to have improved life outcomes. The programme will enable girls to take greater control over their lives and bodies. It will contribute to increased access to education for girls, reduced adolescent pregnancy and maternal deaths and a range of broader development outcomes. In addition, the programme will strengthen the international evidence base on what works to prevent child marriage and increase use of this evidence by a range of actors. This will in turn increase the effectiveness and efficiency of wider interventions aiming to end child marriage.",3600001.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14065,Humanitarian Enablers Programme (HEP),Funding to Humanitarian 2 Humanitarian to improve the effectiveness and efficiency of humanitarian responses,547000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14066,Access to Medicines Index and Anti Microbial Resistance Programme 2021 -2025,The pharmaceutical industry increases its effectiveness and contribution to tackling antimicrobial resistance and improving access to medicines for poor people in developing countries,500000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14067,Syria Humanitarian Response Programme (SHRP),Syria Humanitarian Response Programme - OCHA,34296965.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14068,Small Island Developing States Capacity and Resilience Programme (SIDAR),OECD DAC Small Island Developing States Programme - Phase I (Centre),3175166.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14069,FCDO Research Commissioning Centre,Covid Collective Social Research Platform - phase 2,2492564.54,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14070,Building Local Resilience in Syria (BLRS),Building Local Resilience in Syria,6742640.46,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14071,Jordan Protection Programme (JPP) Support to Vulnerable Refugees and Jordanians,To provide essential protection services to vulnerable refugees and members of the host community in Jordan through working with local service providers to strengthen national services and work towards sustainable service provision for the long term.,2790981.88,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14072,Empowerment and Development for Girls Education,"To expand access and improve education outcomes for 36,100 Girls in Zambia by increasing the number of secondary schools and improving teaching quality in rural areas",2341594.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14073,Justice and Stability in the Sahel (JASS) Phase II,Justice and Stability in the Sahel (JASS),950000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14074,Data For Foundational Learning,Support to UIS - UNESCO Institute for Statistics,800000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14075,UK Support to Palestinian Refugees(UKSPR) 2022-2025,"Fund the United Nations Relief and Works Agency(UNRWA) to deliver  basic education , health, relief and protection  services  to more than 5.8m Palestinian refugees across the Near East.",5700000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14076,FP2030 - The Global Family Planning Partnership,Family Planning 2030 - The Global Family Planning Partnership,2400000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14077,Humanitarian Assistance and Resilience Programme ( HARP),ICRC Country Appeals for protection interventions and GBV prevention,150000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14078,Girls' Education Skills Programme (GESP),Challenge Funds Disbursement,365860.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14080,UN Population Fund (UNFPA) Core,To support the UN Population Fund (UNFPA) to advance the empowerment of women through Reproductive Health and Rights for All,8000000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14081,UK Partnering for Accelerated Climate Transitions,Nature positive Beef market in Colombia: Consolidating a new business model for cero net deforestation beef at the retail level,120965.88,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14082,Urban Climate Action Programme,Cities Finance Facility,4204400.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14083,Powering Sierra Leone's Hospitals,Powering Sierra Leone's Hospitals,4961731.34,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14084,UK/Ukraine universities Twinning Scheme,Ukraine Recovery Through Science & Technology,190000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14085,"United Kingdom National Commission for the United Nations Education, Scientific and Cultural Organisation",United Kingdom National Commission for the United Nations Educational Scientific and Cultural Organisation,251000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14086,UN Development Programme - Core Funding,Core Contribution to UNDP,11000000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14087,Core funding for the Resident Coordinator (RC) System to support UN reforms.,Core funding to UNSPTF for the Resident Coordinator System,6500000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14088,Sri Lanka Multidimensional Food Security Crisis,Sri Lanka Humanitarian appeal support following the severe economic downturn and supply shortages,2031540.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14089,Core Funding to UNICEF in support of its 2022-2025 Strategic Plan,Core funding to the United Nations Children's Fund (UNICEF),16000000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14090,Core Funding to UN Women in support of its 2022  2025 Strategic Plan,Core Funding to UN Women,3300000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14091,Promoting Democracy and Electoral Freedom in Sierra Leone,Elections support through Civil Service organisations,16666.67,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14111,International Finance Facility for Immunisation,Reduce vaccine preventable diseases (VPDs) in poor countries in a sustainable way using innovative financing approach,107920000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14112,Unitaid - market shaping,"To improve access to medicines, diagnostics and preventative items for people affected by HIV/AIDS, TB and malaria in lower income countries, by fast-tracking the introduction of promising new health solutions, and shaping the market for quality health products and expanding access to better, more affordable treatments and technologies aimed at tackling the three diseases and their related co-morbidities.",14000000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14113,European Development Fund,"The European Development Fund (EDF) provides support to African, Caribbean and Pacific (ACP) countries and Overseas Countries and Territories (OCTs) to eradicate poverty, support sustainable development and integrate ACP countries into the world economy. The project was approved before the referendum on the UKs membership of the EU. Under the terms of the Withdrawal Agreement with the EU, the UK will honour its commitment to the current and previous European Development Funds.",191256092.50,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14114,FCDO Support for PARIS21,To improve Partner countries capacity to generate the statistical data needed to support development,1195053.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14115,Additional DFID Funding for International Finance Facility for Immunisation (IFFIm) for Health Systems Strengthening (HSS),Strengthened capacity of the health system to deliver immunisation and other health services in a sustainable manner,19126812.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14116,Global Health Clinical Trials Initiative,To generate new knowledge that promises to contribute to improvement of health in developing countries. The programme will give priority to proposals that are most likely to produce implementable results and are designed to address the major causes of mortality or morbidity in developing countries.,4152485.68,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14117,"Forest Governance, Markets and Climate","A global programme supporting governance and market reforms aimed at reducing the illegal use of forest resources,  benefitting poor forest-dependent people and promoting sustainable growth in developing countries.",4374293.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14118,I2I - Ideas to Impact - Testing new technologies and innovative approaches to address development challenges.,"I2I stimulates technological innovations addressing intractable development challenges, initially in the focal areas of energy, water and climate, and then increasingly in emerging frontier technologies with broader applicability.  It tests different funding mechanisms and approaches - including prizes, peer-to-peer financing, Frontier Technology Livestreaming, and innovative cross-government partnerships - for ensuring technology ideas lead to a real-world development impact.",3201161.52,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14119,Reducing Maternal and Newborn Deaths in Kenya,"To avert 4000 maternal deaths and 5500 neonatal deaths through nationwide life saving skills training for health professionals, uninterrupted and sustainable clean energy systems, climate resilient water supply and infrastructure, and integrated health system strengthening in selected counties, 2013-2023",347539.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14120,"Gender, Growth and Labour Markets in Low Income Countries G2LM|LIC",IZA/DFID Growth and Labour Markets in Low income Countries -Research,800719.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14121,Global Innovation Fund,"To identify and support innovative solutions to development challenges which show proven, cost effective impacts that vastly exceed current practice.",4800000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14122,Investments in Forests and Sustainable Land Use,"To support public-private partnerships that demonstrate how companies, communities, smallholders and governments can work collaboratively to reduce deforestation and benefit forest dependent communities",1239364.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14123,Adaptation for Smallholder Agricultural Programme (ASAP),"To provide knowledge and best practices to help over 6 million smallholder farmers in up to 43 countries adapt to climate change. Grants will be made to: build small scale water-harvesting, water storage and irrigation systems for farmers; provide farmers with improved seeds that are drought tolerant; help farmers access markets to sell their crops; to plant trees on farms and introduce soil and water conservation practices; and, enable farmers to access daily and seasonal weather forecasts (e.g. using text messages) so they know when best to plant and harvest crops.",6762.22,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14124,Private Enterprise Development in Low Income Countries (PEDL),"To improve economic policy-making in Low Income Countries (LICs) by providing policy-makers with a body of high-quality evidence about private enterprise development. (There is currently little good-quality evidence on this theme which is relevant to LICs.)  Policies based on this evidence are expected to improve the business environment for private enterprise, leading to the emergence of more and larger firms, thus creating more and better jobs.",2462898.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14125,Macroeconomic Research in Low-Income Countries,"Deeper understanding of, and better engagement by, IMF policymakers on macroeconomic issues specifically relevant to low income countries, leading to improved policy-making in thematic areas.",1177000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14126,To update Estimates of Global Unmet Need and Costs of Providing Universal Reproductive Maternal and Neonatal Health (RMNH),"Guttmacher Institute is a leading research and policy organization committed to advancing sexual and reproductive health and rights. DFID is supporting the Guttmacher Institute to carry out a programme of research, evidence generation and dissemination for examining the costs and benefits of meeting unmet needs for reproductive, maternal and neonatal health (RMNH) in developing countries. The intended impact of this programme is to increase financing and policy commitments for reproductive, maternal and neonatal health (RMNH) in developing countries. The programme aims to achieve this by making an evidence-based case for increased investments and improved policies. The UKs investment in Guttmacher supports the institute to produce research and evidence to inform the provision of better quality services in developing countries.",-1.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14127,Strengthening Health Facilities in the Caribbean,"To provide safer, greener health facilities in Belize, Dominica, Grenada, Guyana, Jamaica, St Lucia and Saint Vincent and the Grenadines to deliver care in disasters, generate operational savings and reduce disaster losses and build climate resilience.",1620777.02,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14128,Zimbabwe Girls Secondary Education 2012 - 2023,"To strengthen scope and quality of educational service by issuing bursaries, enhance student access, retention and achievement in the secondary cycle with special attention to disadvantaged girls and boys in 1046 schools across 29 districts to complete 4 years secondary education by 2023.  This contributes to the realisation of Global Goal 4.",3563552.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14129,Evidence for Development,The Government of Nepal develops and implements policies and programmes based on sound evidence leading to demonstrable poverty reduction and progress towards Least Developed Country (LDC) graduation by 2022.,991007.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14130,Support to Bangladeshs National Urban Poverty Reduction Programme (NUPRP),"Improvement in the integration of poor communities into municipal planning, budgeting and management, with a particular focus on women and girls and climate resilience; piloting of options for scale up and lesson learning at national level to inform overall urban policy and poverty reduction",6700000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14131,Tackling Maternal and Child Undernutrition Programme- Phase II,To contribute towards improved health and nutrition status for children under two years measured primarily by a reduction in stunting by 2023.,13494.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
